actual,predicted
10321.829783520925,10779.078374487028
10330.62952490647,10799.294186164267
10326.169713946289,10806.249807833363
10355.360624174364,10807.222880685125
10370.049815664031,10828.930822423392
10393.040096527395,10857.023677965533
10349.17019740836,10876.622232420947
10375.980076162985,10860.673019990856
10343.589375915151,10869.956747152606
10350.000433878213,10862.281842274606
10364.009877228968,10853.489752838092
10364.629685100472,10873.987411304637
10335.929774935212,10887.433798739201
10345.969132063763,10868.323056034507
10340.269705360575,10864.548094512593
10352.289641963294,10866.439401248066
10341.550131498414,10860.634122583284
10342.370165369559,10859.420013337045
10321.429331521642,10866.498066190636
10304.220098151129,10871.3085914814
10349.379350681871,10868.17766900292
10360.190279337707,10850.583925193605
10375.879325500744,10834.337562076149
10379.380092182384,10859.52650296106
10453.249457477094,10864.580615295974
10463.409970465302,10857.26152604791
10434.549369370394,10909.29031582115
10458.969289377697,10888.946333997643
10439.900632392675,10931.560675813189
10443.32998088336,10960.268875589898
10434.40015636429,10952.656461628983
10430.760379275256,10970.978415921074
10428.39975299922,10975.774274976195
10561.820411626972,10990.587172975194
10542.870359851928,11008.650236325071
10532.320872787983,11025.897729440738
10525.00943548895,11050.456022193019
10543.180263787679,11053.558249862632
10546.429791476137,11071.319698888208
10505.099064110527,11075.192860422687
10458.04978016915,11071.234889786449
10325.000241069398,11034.445594170682
10288.950633859953,10990.334658657173
10325.620048940902,10922.424886332705
10331.759462713368,10892.898565672107
10285.740641241486,10864.49070489486
10270.599984758996,10803.948484162316
10284.759916440691,10731.134450171454
10262.50932398365,10735.617854641147
10311.06986785863,10765.156928550128
10316.289772422548,10776.552593644408
10300.389022336321,10736.06230534736
10310.980595119936,10749.528460316918
10334.780707255737,10737.329340574393
10274.999855451768,10770.605753922555
10329.379706564754,10759.038557637497
10359.330710396567,10779.397843359067
10353.41065249632,10778.823947181749
10348.179270008857,10788.71281597936
10340.990263894319,10785.377203864302
10361.169728813662,10796.454037748961
10403.20953678947,10771.692330684942
10365.769825506077,10789.991966792359
10371.610813266336,10789.896317429473
10416.86954113448,10805.175984319358
10473.959457529247,10843.160896971205
10506.860287712474,10845.6560700177
10645.110601503566,10848.96426264873
10638.839829272738,10782.087503443432
10706.039245662172,10883.084941039968
10732.789184149387,10880.64078098701
10691.00061516676,10904.6028593773
10679.390057837196,10984.533205966907
10674.300236406803,11015.962948948943
10690.620568364891,11065.083998090438
10724.018775235128,11083.270767949649
10650.580469735827,11140.291179140717
10675.150878074073,11146.817654001663
10681.480315247472,11151.580992273402
10716.340044382612,11153.787941906401
10758.569875759355,11170.420728449917
