actual,predicted
39846.07024518476,38803.97885513898
39961.53116391675,38678.27556146606
39860.46968160133,38799.40413584371
39967.78822452281,38707.20324465479
40030.58912788586,38602.24622491901
40217.19239634095,38870.33180164084
40119.800057487606,38821.15356921676
40141.57681426941,38780.63685736963
40053.6110514383,38753.19244494216
40244.301121175085,38713.73744269257
40162.268441389024,38944.02303506684
40129.85897525543,38938.89404090816
40276.42173984464,39004.88787975204
40220.79908629728,38843.863225240515
40162.190374506856,39044.71369969194
40060.59023070446,38995.94922174337
40457.6930402474,39029.5570145183
40436.216840961955,39135.927044821394
40385.352363882965,39272.41527826634
40447.03691083096,39375.90073727319
40410.07614546675,39403.961878069815
40329.67116017398,39514.21963910505
40413.788225714015,39384.75742505557
40443.00085302268,39218.79504024668
40466.79954205273,39243.1675208607
40563.18091478195,39385.00723907851
40567.19745586969,39312.68607943463
40603.39706913272,39316.83533422205
40547.41140458326,39787.68402400852
40441.89230329584,39599.2500871665
40555.15954263881,39418.64235526221
40477.8772326329,39300.29296188986
40441.48635550855,39222.405633547125
40418.10142095401,39156.739675608376
40389.98172999575,39109.825382767274
40350.01929301204,39067.40383899515
40424.780042723796,39229.790760600576
40436.751599104835,39152.7972980587
40469.789503639906,39066.62707351755
40461.94768532576,39021.19995478182
40514.65844416811,39130.520913231
40073.28000240147,39108.954937031056
40224.550199985635,38980.43342891174
40145.23034435505,39039.88135968551
40203.351138131904,39102.56906606941
40228.64871129965,39418.033433581266
40296.262437948586,39183.169218567615
40513.6084446029,39025.55999015111
40421.8720513629,38986.63974604439
40395.67280570607,39007.44847348727
40395.1419509073,39010.96928987321
40407.00031030919,39005.48899474476
40186.9414794994,39064.55439779589
40250.07807045579,38968.575069509854
40294.88846082237,38957.37637526232
40386.4609136098,38914.67769405849
40347.75145008495,38889.00930320042
40309.45964437972,39165.81495066084
40394.55644929101,39100.48468031543
40437.80159867004,39015.606462674215
40423.33970874773,39012.202746611525
40485.32871653619,39021.99623697997
40443.6917449299,39034.689912021095
40327.73119815201,39253.54651284543
40375.57058354685,39379.331776744635
40451.510143179396,39351.567290100254
40225.85001357379,39254.889263218785
40117.82886871277,39297.24835348516
40131.229049037545,39110.325010813176
40397.98748876246,39122.749355110805
40271.69869347325,39167.188927787065
40223.75001444337,39098.77111225176
39992.00066802838,39150.26793107634
39691.26752118232,39078.676696780756
39737.42066192225,38958.0945905783
39759.556526362045,38839.194825686645
39813.71152252457,38627.84045223901
39820.351110853284,38535.61614098543
38826.25133662257,38490.8252673394
38936.391997334555,38368.127548630095
39008.8263539576,38023.427133744925
38909.076395262666,38117.03713215705
38892.729190135906,37966.9535511819
38986.6904895178,37823.82572940824
38949.39013321615,37710.71852717373
39014.51742966792,37740.758663433415
39408.11893954546,37996.345732319554
39330.16135100877,37904.219004668696
39339.587927031,38211.68151675795
39271.931263596874,38159.2908321325
39471.532667933556,38102.67282583745
40208.96805030416,38266.8474790446
40673.73142662534,38524.96781825721
40664.76154186381,38809.82606461364
40656.876786764464,39092.39695132244
40802.23732136822,39386.78326064792
40934.79879063993,39322.48347314718
40814.60311550423,39387.021364638545
40897.79899183464,39378.769695193
40766.018191384646,39373.66412109896
40624.52977413661,39414.71168774486
40708.64683967664,39716.64316123225
40876.3696326785,40058.17796404535
40682.23681343795,39811.34219265066
40732.211328060184,39632.52609569221
